,Star_names,Distance,Gravity
217,2MASSW J1552591+294849 [de],68.0,Out of Range
218,2MASSW J1555157-095605 [de],44.0,Out of Range
219,2MASS J16150413+1340079 [de],48.0,Out of Range
220,SDSSp J162414.37+002915.6 [de],36.0,Out of Range
221,2MASS J16262034+3925190 [de],Out of Range,Out of Range
222,2MASSW J1632291+190441 [de],50.0,Out of Range
223,WISEPA J164715.59+563208.2,28.0,Out of Range
224,LSPM J1658+7027 [de],60.0,Out of Range
225,2MASSI J1726000+153819,Out of Range,303.58098872536374
226,SDSSp J175032.96+175903.9,90.0,Out of Range
227,2MASS J18283572-4849046,39.0,Out of Range
228,LSR J1835+3259,18.5,Out of Range
229,2MASSW J1841086+311727,Out of Range,Out of Range
230,2MASS J18432213+4040209,46.0,Out of Range
231,2MASS J20004841-7523070,Out of Range,175.3653195207912
232,SDSS J204749.61-071818.3,65.0,Out of Range
233,2MASSI J2057540-025230,47.0,Out of Range
234,2MASSI J2104149-103736,62.0,Out of Range
235,PSO J318.5−22,80.0,Out of Range
236,HB 2124-4228,Out of Range,Out of Range
237,2MASS J21392676+0220226,32.1,Out of Range
238,2MASS J21481628+4003593,26.3,Out of Range
239,2MASSW J2206450-421721,93.0,308.3463412722992
240,2MASSW J2208136+292121,Out of Range,336.7014134799189
241,2MASSW J2224438-015852,38.0,Out of Range
242,2MASS J22282889-4310262,35.0,Out of Range
243,2MASS J22373255+3922398,64.0,Out of Range
244,2MASSW J2244316+204343,56.0,178.78094402431125
245,2MASS J23224684-3133231,56.0,307.96477299400283
246,2MASS J23225299-6151275,Out of Range,166.71476840857292
247,2MASS J23515044-2537367,67.0,Out of Range
248,2MASSI J2356547-155310,74.0,Out of Range
249,WISE 0410+1502,20.0,Out of Range
250,WISE 0458+6434A,35.9,Out of Range
251,WISE 0458+6434B,35.9,Out of Range
252,WISE 1405+5534,25.3,Out of Range
